Gmt time,Open,High,Low,Close,Volume
01.08.2019 00:00:00.000,1.31949,1.32187,1.31945,1.32156,10762.5
01.08.2019 01:00:00.000,1.32155,1.32176,1.32037,1.32058,8671.0898
01.08.2019 02:00:00.000,1.32058,1.32067,1.32021,1.32048,6919.54
01.08.2019 03:00:00.000,1.32049,1.32119,1.32028,1.32105,4781.29
01.08.2019 04:00:00.000,1.32105,1.32134,1.32084,1.32084,3632.0701
01.08.2019 05:00:00.000,1.32085,1.32115,1.32061,1.32102,3483.1599
01.08.2019 06:00:00.000,1.32102,1.32189,1.32062,1.32170,6436.7598
01.08.2019 07:00:00.000,1.32170,1.32231,1.32084,1.32218,6242.3901
01.08.2019 08:00:00.000,1.32219,1.32230,1.32151,1.32188,5841.8901
01.08.2019 09:00:00.000,1.32186,1.32186,1.32101,1.32162,7258.96
01.08.2019 10:00:00.000,1.32162,1.32226,1.32137,1.32217,6551.3701
01.08.2019 11:00:00.000,1.32218,1.32273,1.32184,1.32223,7317.5601
01.08.2019 12:00:00.000,1.32222,1.32368,1.32208,1.32313,12245.6602
01.08.2019 13:00:00.000,1.32313,1.32472,1.32290,1.32422,14129.0898
01.08.2019 14:00:00.000,1.32419,1.32422,1.32042,1.32080,20987.6895
01.08.2019 15:00:00.000,1.32080,1.32121,1.31951,1.32049,12796.3496
01.08.2019 16:00:00.000,1.32048,1.32075,1.31830,1.31848,8238.1201
01.08.2019 17:00:00.000,1.31848,1.32140,1.31822,1.32006,22735.1309
01.08.2019 18:00:00.000,1.32007,1.32425,1.32007,1.32368,26658.4102
01.08.2019 19:00:00.000,1.32366,1.32368,1.32109,1.32174,17113.4199
01.08.2019 20:00:00.000,1.32174,1.32221,1.32093,1.32110,4588.1099
01.08.2019 21:00:00.000,1.32110,1.32203,1.32046,1.32102,2280.75
01.08.2019 22:00:00.000,1.32100,1.32179,1.32100,1.32126,3407.1699
01.08.2019 23:00:00.000,1.32126,1.32163,1.32114,1.32129,4007.8701
02.08.2019 00:00:00.000,1.32129,1.32202,1.32105,1.32190,11780.8301
02.08.2019 01:00:00.000,1.32191,1.32211,1.32137,1.32150,17235.5801
02.08.2019 02:00:00.000,1.32150,1.32245,1.32096,1.32210,13751.3096
02.08.2019 03:00:00.000,1.32209,1.32234,1.32171,1.32192,8113.0698
02.08.2019 04:00:00.000,1.32190,1.32202,1.32133,1.32157,9255.5996
02.08.2019 05:00:00.000,1.32159,1.32231,1.32143,1.32230,6397.3101
02.08.2019 06:00:00.000,1.32231,1.32242,1.32153,1.32160,6704.8799
02.08.2019 07:00:00.000,1.32159,1.32300,1.32156,1.32170,13818.3604
02.08.2019 08:00:00.000,1.32170,1.32274,1.32139,1.32243,9709.2402
02.08.2019 09:00:00.000,1.32243,1.32305,1.32213,1.32256,12220.9297
02.08.2019 10:00:00.000,1.32256,1.32262,1.32159,1.32230,11996.1104
02.08.2019 11:00:00.000,1.32231,1.32248,1.32195,1.32207,8595.1396
02.08.2019 12:00:00.000,1.32207,1.32657,1.32163,1.32458,30917.5996
02.08.2019 13:00:00.000,1.32460,1.32551,1.32361,1.32474,26343.8203
02.08.2019 14:00:00.000,1.32473,1.32526,1.32300,1.32363,20829.1504
02.08.2019 15:00:00.000,1.32363,1.32422,1.32136,1.32176,18000.9805
02.08.2019 16:00:00.000,1.32176,1.32190,1.31996,1.32012,10556.25
02.08.2019 17:00:00.000,1.32011,1.32236,1.32002,1.32214,8881.2305
02.08.2019 18:00:00.000,1.32214,1.32219,1.32067,1.32107,9436.75
02.08.2019 19:00:00.000,1.32107,1.32135,1.32046,1.32133,8802.9805
02.08.2019 20:00:00.000,1.32133,1.32170,1.31990,1.32014,3439.02
02.08.2019 21:00:00.000,1.32014,1.32014,1.32014,1.32014,0
02.08.2019 22:00:00.000,1.32014,1.32014,1.32014,1.32014,0
02.08.2019 23:00:00.000,1.32014,1.32014,1.32014,1.32014,0
03.08.2019 00:00:00.000,1.32014,1.32014,1.32014,1.32014,0
03.08.2019 01:00:00.000,1.32014,1.32014,1.32014,1.32014,0
03.08.2019 02:00:00.000,1.32014,1.32014,1.32014,1.32014,0
03.08.2019 03:00:00.000,1.32014,1.32014,1.32014,1.32014,0
03.08.2019 04:00:00.000,1.32014,1.32014,1.32014,1.32014,0
03.08.2019 05:00:00.000,1.32014,1.32014,1.32014,1.32014,0
03.08.2019 06:00:00.000,1.32014,1.32014,1.32014,1.32014,0
03.08.2019 07:00:00.000,1.32014,1.32014,1.32014,1.32014,0
03.08.2019 08:00:00.000,1.32014,1.32014,1.32014,1.32014,0
03.08.2019 09:00:00.000,1.32014,1.32014,1.32014,1.32014,0
03.08.2019 10:00:00.000,1.32014,1.32014,1.32014,1.32014,0
03.08.2019 11:00:00.000,1.32014,1.32014,1.32014,1.32014,0
03.08.2019 12:00:00.000,1.32014,1.32014,1.32014,1.32014,0
03.08.2019 13:00:00.000,1.32014,1.32014,1.32014,1.32014,0
03.08.2019 14:00:00.000,1.32014,1.32014,1.32014,1.32014,0
03.08.2019 15:00:00.000,1.32014,1.32014,1.32014,1.32014,0
03.08.2019 16:00:00.000,1.32014,1.32014,1.32014,1.32014,0
03.08.2019 17:00:00.000,1.32014,1.32014,1.32014,1.32014,0
03.08.2019 18:00:00.000,1.32014,1.32014,1.32014,1.32014,0
03.08.2019 19:00:00.000,1.32014,1.32014,1.32014,1.32014,0
03.08.2019 20:00:00.000,1.32014,1.32014,1.32014,1.32014,0
03.08.2019 21:00:00.000,1.32014,1.32014,1.32014,1.32014,0
03.08.2019 22:00:00.000,1.32014,1.32014,1.32014,1.32014,0
03.08.2019 23:00:00.000,1.32014,1.32014,1.32014,1.32014,0
04.08.2019 00:00:00.000,1.32014,1.32014,1.32014,1.32014,0
04.08.2019 01:00:00.000,1.32014,1.32014,1.32014,1.32014,0
04.08.2019 02:00:00.000,1.32014,1.32014,1.32014,1.32014,0
04.08.2019 03:00:00.000,1.32014,1.32014,1.32014,1.32014,0
04.08.2019 04:00:00.000,1.32014,1.32014,1.32014,1.32014,0
04.08.2019 05:00:00.000,1.32014,1.32014,1.32014,1.32014,0
04.08.2019 06:00:00.000,1.32014,1.32014,1.32014,1.32014,0
04.08.2019 07:00:00.000,1.32014,1.32014,1.32014,1.32014,0
04.08.2019 08:00:00.000,1.32014,1.32014,1.32014,1.32014,0
04.08.2019 09:00:00.000,1.32014,1.32014,1.32014,1.32014,0
04.08.2019 10:00:00.000,1.32014,1.32014,1.32014,1.32014,0
04.08.2019 11:00:00.000,1.32014,1.32014,1.32014,1.32014,0
04.08.2019 12:00:00.000,1.32014,1.32014,1.32014,1.32014,0
04.08.2019 13:00:00.000,1.32014,1.32014,1.32014,1.32014,0
04.08.2019 14:00:00.000,1.32014,1.32014,1.32014,1.32014,0
04.08.2019 15:00:00.000,1.32014,1.32014,1.32014,1.32014,0
04.08.2019 16:00:00.000,1.32014,1.32014,1.32014,1.32014,0
04.08.2019 17:00:00.000,1.32014,1.32014,1.32014,1.32014,0
04.08.2019 18:00:00.000,1.32014,1.32014,1.32014,1.32014,0
04.08.2019 19:00:00.000,1.32014,1.32014,1.32014,1.32014,0
04.08.2019 20:00:00.000,1.32014,1.32014,1.32014,1.32014,0
04.08.2019 21:00:00.000,1.32093,1.32143,1.32045,1.32062,1625.97
04.08.2019 22:00:00.000,1.32061,1.32094,1.32024,1.32032,4421.8501
04.08.2019 23:00:00.000,1.32033,1.32039,1.31977,1.32027,3690.2
05.08.2019 00:00:00.000,1.32028,1.32052,1.31914,1.31973,8274.46
05.08.2019 01:00:00.000,1.31974,1.32222,1.31944,1.32210,22026.1094
